DEPTH,GR,PHIT
11856.5,72.942,0.2205
11857,74.482,0.2222
11857.5,71.604,0.2323
11858,68.546,0.2435
11858.5,69.418,0.2457
11859,72.236,0.2435
11859.5,73.795,0.2429
11860,71.713,0.2396
11860.5,69.852,0.2345
11861,69.552,0.2261
11861.5,71.531,0.2255
11862,71.402,0.2368
11862.5,72.396,0.2418
11863,74.554,0.2351
11863.5,76.412,0.2216
11864,77.145,0.2497
11864.5,77.325,0.2227
11865,77.577,0.2328
11865.5,76.534,0.2457
11866,71.977,0.2514
11866.5,69.159,0.2418
11867,69.345,0.2272
11867.5,72.331,0.2239
11868,73.71,0.234
11868.5,71.161,0.2418
11869,70.621,0.2373
11869.5,70.011,0.2272
11870,71.019,0.2239
11870.5,67.854,0.2283
11871,67.737,0.2429
11871.5,68.336,0.2536
11872,69.523,0.2586
11872.5,69.939,0.2525
11873,69.839,0.2429
11873.5,70.512,0.2373
11874,71.051,0.2379
11874.5,72.541,0.2413
11875,71.806,0.2452
11875.5,71.937,0.2508
11876,70.87,0.2525
11876.5,72.564,0.2441
11877,72.504,0.2334
11877.5,69.854,0.23
11878,67.552,0.2379
11878.5,64.724,0.2441
11879,66.283,0.2474
11879.5,67.695,0.2441
11880,71.722,0.2418
11880.5,73.989,0.2413
11881,75.103,0.2356
11881.5,74.563,0.2523
11882,74.755,0.2394
11882.5,73.74,0.2523
11883,72.721,0.2373
11883.5,71.798,0.2452
11884,74.388,0.2362
11884.5,76.894,0.2529
11885,77.456,0.2419
11885.5,76.917,0.2406
11886,76.899,0.2406
11886.5,76.659,0.2355
11887,75.94,0.2394
11887.5,73.201,0.2465
11888,73.62,0.2542
11888.5,72.499,0.2568
11889,73.698,0.225
11889.5,74.717,0.2529
11890,73.532,0.2471
11890.5,75.402,0.2465
11891,75.15,0.2471
11891.5,77.085,0.2445
11892,79.004,0.2361
11892.5,80.341,0.2374
11893,81.48,0.2426
11893.5,78.362,0.2406
11894,75.766,0.2439
11894.5,74.126,0.2278
11895,70.409,0.2525
11895.5,67.832,0.2716
11896,65.244,0.285
11896.5,63.676,0.2901
11897,63.376,0.2917
11897.5,63.179,0.2867
11898,63.239,0.28
11898.5,63.958,0.276
11899,63.103,0.2833
11899.5,62.573,0.2923
11900,61.194,0.294
11900.5,61.813,0.2845
11901,63.192,0.2772
11901.5,64.281,0.2738
11902,64.517,0.2749
11902.5,64.148,0.2727
11903,64.208,0.276
11903.5,65.707,0.2716
11904,67.054,0.262
11904.5,66.215,0.2586
11905,63.936,0.2676
11905.5,64.813,0.2716
11906,66.252,0.2648
11906.5,66.782,0.2687
11907,63.838,0.2839
11907.5,62.639,0.2951
11908,61.467,0.2951
11908.5,62.846,0.285
11909,62.606,0.2727
11909.5,65.636,0.3026
11910,67.085,0.289
11910.5,68.203,0.28
11911,65.276,0.2877
11911.5,58.98,0.3103
11912,53.657,0.2917
11912.5,47.061,0.2979
11913,43.935,0.2968
11913.5,41.784,0.2901
11914,42.197,0.3265
11914.5,45.383,0.32
11915,49.391,0.3219
11915.5,55.504,0.3168
11916,58.613,0.3052
11916.5,59.822,0.3103
11917,60.361,0.2895
11917.5,60.076,0.3131
11918,55.958,0.3232
11918.5,52.962,0.3249
11919,50.977,0.3209
11919.5,52.896,0.3136
11920,55.303,0.3024
11920.5,55.782,0.3007
11921,57.568,0.3131
11921.5,55.409,0.3232
11922,56.06,0.3108
11922.5,59.71,0.2901
11923,64.627,0.3226
11923.5,68.233,0.2951
11924,63.593,0.308
11924.5,61.845,0.3047
11925,60.765,0.2856
11925.5,62.519,0.3161
11926,62.146,0.3239
11926.5,61.477,0.2979
11927,60.774,0.3119
11927.5,59.779,0.3108
11928,58.161,0.3052
11928.5,57.418,0.3103
11929,56.459,0.3131
11929.5,59.036,0.3075
11930,60.97,0.2946
11930.5,62.059,0.2811
11931,60.929,0.3097
11931.5,59.67,0.3123
11932,61.217,0.309
11932.5,61.886,0.3026
11933,61.15,0.3077
11933.5,60.483,0.2884
11934,58.075,0.3114
11934.5,57.094,0.3181
11935,54.337,0.3187
11935.5,55.176,0.3153
11936,56.962,0.3119
11936.5,57.739,0.3069
11937,57.845,0.3047
11937.5,57.657,0.3013
11938,59.329,0.2917
11938.5,58.383,0.3174
11939,56.284,0.3135
11939.5,55.165,0.2805
11940,56.604,0.2889
11940.5,64.159,0.2682
11941,69.78,0.2671
11941.5,76.797,0.2265
11942,78.236,0.2181
11942.5,80.696,0.2181
11943,77.663,0.2181
11943.5,78.609,0.2194
11944,80.433,0.2226
11944.5,84.05,0.2226
11945,83.104,0.2226
11945.5,80.849,0.2213
11946,80.822,0.2219
11946.5,83.266,0.2187
11947,83.638,0.2168
11947.5,83.377,0.2181
11948,81.651,0.2129
11948.5,80.945,0.2123
11949,82.672,0.2103
11949.5,83.733,0.2123
11950,82.882,0.2103
